ENTREZID GSM714777 GSM714778 GSM714779 GSM714783 GSM714784 GSM714785
387287 387287 0.150992138817042 0.156339685811541 0.111777351636139 0.164039600177984 0.243909966737583 0.128661493785926
387596 387596 0.405608327641914 0.403212410333548 0.397671088573393 0.409181037829733 0.398398922665111 0.404713871967573
396553 396553 0.379684475497691 0.324346138528281 0.40122257998053 0.432809677542175 0.408951656615146 0.429774541858839
396555 396555 0.500892317082945 0.490302073681463 0.483673590036025 0.480406577695044 0.473884519935051 0.471892254558855
396556 396556 0.145007420446111 0.135876712128019 0.60418817781276 0.0276371072813564 0.11419231929015 0.0831861150861291
396557 396557 0.306430908307702 0.273330362624908 0.309089652848223 0.296050424540003 0.358956174932031 0.299855893353218
396558 396558 0.464537800171864 0.431855682430883 0.464945785614502 0.490896346587379 0.471795711858109 0.494155007988495
396559 396559 0.466215278570724 0.501174180195675 0.462530843712014 0.458320122418432 0.452691849011462 0.458789767819691
396560 396560 0.413544210372226 0.405481363650005 0.410216754267348 0.42215063543962 0.448454777703595 0.383762620402174
396561 396561 0.39730638184342 0.388153438442999 0.412053160888811 0.375795118403088 0.370371751637819 0.347784253401656
396563 396563 0.457044409705615 0.48946639170196 0.454663811315173 0.519017065204509 0.446384786556479 0.502992949436569
396564 396564 0.545333211621478 0.558296518893551 0.545515943920502 0.566502596909262 0.549426039615442 0.55370632617593
396570 396570 0.13595313415332 0.135443257774766 0.157637043697856 0.15909573041888 0.16140462816534 0.140459022261931
396571 396571 0.444387108783438 0.407189782389235 0.4284830538103 0.416308616599181 0.452248215056355 0.427404801983209
396573 396573 0.369401582553615 0.322441762341815 0.35978659609675 0.351121538454346 0.291992627592462 0.33738972701623
396574 396574 0.00875792356055891 0.0123175603933726 0.227758762323495 0.0905621336779592 0.106747117723659 0.0697004786022582
396575 396575 0.448821319312527 0.451963820355236 0.44966823721414 0.45159075262598 0.438718423630392 0.453909604051384
396579 396579 0.393995631806502 0.376830568643382 0.388722565586318 0.369957659803985 0.372642725665732 0.368416851375726
396581 396581 0.629207706654982 0.6352051123172 0.636174894886915 0.629425426176325 0.626979771850809 0.6317755356188
396583 396583 0.250220883115931 0.279391677418277 0.295367512939966 0.223014794903637 0.267559265618396 0.270580750647681
396584 396584 0.341777514752821 0.326847864993525 0.334954924835893 0.33315668705251 0.336394094751077 0.339686551873502
396585 396585 0.491530688928465 0.467630461218198 0.517670549935729 0.543449501179141 0.503795890719785 0.524672165772082
396589 396589 0.643476500463712 0.60651363646468 0.655926930750893 0.669038678153708 0.656568774817002 0.669868931906542
396590 396590 0.66349653311475 0.654627164797506 0.634275944868401 0.677099886913867 0.645357741168062 0.652852940328317
396591 396591 0.576628524741257 0.596329256157713 0.619465599428369 0.571723230177339 0.618746156768929 0.601113154855049
396592 396592 0.809604027371706 0.814182918062488 0.821910812257986 0.783002079721809 0.776181875077544 0.793186104464049
396593 396593 0.575048667102488 0.554758602471988 0.60161866000584 0.595026979421112 0.5850560928109 0.595375851132028
396596 396596 0.246453709202416 0.246903091702536 0.251745233522255 0.270596173759808 0.227408427431873 0.256945826126946
396597 396597 0.195662956740351 0.201185306544167 0.189396073235604 0.163301646792509 0.117459724549935 0.186583347348452
396601 396601 0.366097822914759 0.398109908425754 0.356819382383141 0.332377459615434 0.341946660925051 0.350142223370146
396602 396602 0.668349422367282 0.614463729495518 0.665159853558835 0.661855889976397 0.670091030692 0.658924738506936
396607 396607 0.504700617639574 0.473267161716214 0.503058013840524 0.510575054410121 0.50720150170378 0.501792405538969
396608 396608 0.258538169715638 0.32551687836644 0.282383175701061 0.279493995621446 0.288664076860239 0.273510928545494
396610 396610 0.340506677347331 0.334122655199381 0.33353237700672 0.333648763813473 0.331906382462246 0.320231370542486
396611 396611 0.689517751836535 0.667339528210726 0.712146945839369 0.718444076739996 0.684595163747089 0.710327938269004
396619 396619 0.227330396972023 0.244780635205325 0.245758414099849 0.270798196993421 0.278630388192706 0.208312813935963
396621 396621 0.197556614193705 0.203969980888978 0.201100630960851 0.224447599225164 0.203953285088637 0.226545748228028
