"EntrezID" "GSM43176" "GSM43178" "GSM43179" "GSM43181" "GSM43182" "GSM43183"
"19" "19" "9.81860571031842" "10.3517629919861" "9.63474605312961" "10.0940606836008" "10.2485927802548" "6.9199610654765"
"41" "41" "11.4992433143811" "11.5366245122059" "10.6757608607247" "11.7328619073799" "11.4450264529536" "9.44417016818385"
"59" "59" "10.6985820347812" "10.4320162555051" "10.0497511442621" "10.6272787291864" "10.0505885171581" "9.41661697684623"
"323" "323" "11.8521365581277" "12.1742730994399" "12.3813318659288" "11.816282251801" "12.422854032463" "11.8605302908056"
"324" "324" "11.0915973848338" "10.7792280505928" "10.834126893514" "10.8058956618328" "11.1048312006824" "12.0409069920635"
"392" "392" "11.2467688337563" "12.1791604213014" "11.268330611666" "12.0583077004398" "10.6930296024252" "11.9525424691252"
"403" "403" "9.77947837956133" "9.6054023232675" "8.89686410619536" "9.22927573872371" "10.0807663381839" "10.4025070974471"
"488" "488" "15.2131307579295" "14.8884941610385" "14.789314293249" "13.9860046110537" "14.9532979440977" "15.8203419997199"
"534" "534" "7.98353345831504" "NaN" "4.57803513790253" "NaN" "NaN" "NaN"
"649" "649" "11.0665359958781" "10.7868226097953" "10.4775265896088" "10.3176131988751" "10.1714830678101" "9.37738093706384"
"658" "658" "11.3102587870008" "10.0594288998266" "9.90739017529607" "8.0381500252102" "9.89519823602233" "11.7366133133837"
"667" "667" "2.15089279737356" "7.22980056357847" "6.8363700330891" "6.77605328299612" "7.26645792079132" "6.93594190081637"
"774" "774" "11.3805628257964" "11.665854296638" "10.7128627135118" "11.6955354427516" "12.2908301403795" "10.8031764592591"
"817" "817" "10.3661596530868" "8.5913547700854" "9.56087281204411" "10.3380596775318" "9.78661874374048" "10.9060529781945"
"1051" "1051" "10.2231289815946" "6.96269546555011" "10.9872753305399" "8.50616622714469" "10.5145376461867" "8.36923418877393"
"1106" "1106" "13.387884100234" "14.4953248195747" "14.7293821807147" "13.2148867663397" "13.4998170379982" "14.6244169564519"
