"ID","GB_ACC","Name","SPOT_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"10301","H53489","Hs.1012_C4BP","",1.66064751625,2.37141362307692,5.21586938710952,1.43123559193888e-05,0.0680339857011471,2.95698302183657
"49","H10437","","",-1.12205782653846,-0.390568255227273,-5.23537655155307,2.09957386206533e-05,0.0680339857011471,2.55887631872673
"1991","H10810","Hs.490892_ANGPT","",-0.796877019725,-0.491099661692308,-4.90026222432613,3.42704408379174e-05,0.0680339857011471,2.2073488711466
"495","","","--BLANK",0.5298010775625,0.210167711346154,4.79892970880553,4.53544874879541e-05,0.0680339857011471,1.96611677114594
"17256","H29522","Hs.503594_AMOTL","",0.8443828483875,-0.142953778807692,4.73096812808887,5.4725071413124e-05,0.0680339857011471,1.80428790851672
"5404","AA043306","","",-0.7457807165625,0.651590183576923,-4.71153758534274,5.77425110674417e-05,0.0680339857011471,1.75802111401961
"10402","W20504","Hs.512690_SFTP","",1.87492315,4.17731561153846,4.62118004100288,7.4099118845504e-05,0.0680339857011471,1.54291058620794
"14031","AA128279","","",-0.966568182925,0.349990479807692,-4.61857396101115,7.46337036454439e-05,0.0680339857011471,1.53670805689311
"2729","T75327","Hs.494648_TEX1","",-1.13252036133333,-1.5922760488,-4.62239955068018,7.95084956464612e-05,0.0680339857011471,1.47880746765934
"2875","R89543","Hs.445892_SEC22L","",0.7426033125,0.584217288846154,4.54217890391395,9.21277831673071e-05,0.0680339857011471,1.35495064649708
"8671","T95563","","",-0.7643719544375,-0.00571649819230769,-4.5398385925017,9.27236003634837e-05,0.0680339857011471,1.34938494872203
"18212","N79346","Hs.128959_PCF1","",-0.970746765625001,-0.725853025,-4.53194543916147,9.47614623830934e-05,0.0680339857011471,1.33061473608482
"1471","W79028","Hs.458437","",-0.71367366435,-0.188891012846154,-4.51422457276881,9.95000504286285e-05,0.0680339857011471,1.2884807920553
"16282","W01973","Hs.284630_TBC1D1","",0.821093003375,0.191641287076923,4.51144720649143,0.000100263745953712,0.0680339857011471,1.28187810727664
"9839","","","--UNRESOLVE",-0.7560626106875,0.174569020115385,-4.51107940444659,0.000100365316126125,0.0680339857011471,1.2810037436381
"8285","R23053","Hs.49787_LTBP","",-1.70345925555556,-1.39460531666667,-4.66995500461722,9.87600976105615e-05,0.0680339857011471,1.25350463408536
"3915","R55942","Hs.4267_LOC28424","",-0.7102282932,-0.12511500212,-4.48619124548461,0.000115066853300161,0.0680339857011471,1.16099515064181
"18217","N98256","Hs.283416_PRRX","",-0.6006711506875,-0.0172989180384615,-4.44911497638262,0.000119018870845133,0.0680339857011471,1.13376741074501
"2775","T83672","Hs.533683_FGFR","",-0.4624947175,-0.104822040346154,-4.42696842283593,0.000126488140076737,0.0680339857011471,1.08118147564073
"1663","R31008","","",-0.850222420225,-0.591245827461538,-4.42048662235912,0.00012876081791956,0.0680339857011471,1.06579489473089
"9611","N46675","Hs.201859_ZC3HDC","",-0.63828081125,-0.186350934038462,-4.38934429638844,0.000140256875545951,0.0680339857011471,0.991896773217858
"5878","BI457624","Hs.517436_YPEL","",0.6149721191875,-0.114286859961538,4.37867776691773,0.000144423583028075,0.0680339857011471,0.966597170571696
"4305","R51396","Hs.147770_ITGB1BP","",1.09018396725,-0.180689928615385,4.37819232109277,0.000144616103165419,0.0680339857011471,0.965445898514516
"18481","H13748","Hs.183114_FLJ1031","",-0.5777636544,0.0917646816538462,-4.37240404432205,0.000146931312413284,0.0680339857011471,0.951719520394103
"2743","R21289","Hs.503743_GRIA","",-1.522613460625,-1.09894464884615,-4.34196048887886,0.000159725654901151,0.0680339857011471,0.879555712036839
"12277","H45010","Hs.467662_DDEF","",-0.697321606125,-0.114082790384615,-4.3245425160989,0.000167535327204917,0.0680339857011471,0.838292011773643
"14203","","","--BLANK",0.64772210965,0.240797926423077,4.2780798679949,0.000190263288256106,0.0680339857011471,0.728313718993156
"4605","AA203268","Hs.325528_DOCK","",-0.7720238856,-0.0869331913076923,-4.26189958067632,0.000198873010767514,0.0680339857011471,0.690048510632349
"17522","AA149547","Hs.183390_ZNF61","",-0.863011048466667,-0.49279884308,-4.27730226225616,0.000202455419829966,0.0680339857011471,0.674591529787661
"18408","H09454","Hs.31121_SNTA","",0.861171669625,-0.457290222307692,4.24898088232802,0.000206022587011773,0.0680339857011471,0.659510077764668
"1317","H26657","Hs.334674_SMC","",0.63593231205,0.198176758961538,4.23587695504925,0.000213533947871653,0.0680339857011471,0.628546286278709
"9511","H27257","Hs.11355_TMP","",-0.711951855,-0.527167048461539,-4.22799218379829,0.000218183255777571,0.0680339857011471,0.609921267058824
