,228845_at
SNOWBALL_000211,213020_at
SNOWBALL_000211,1555199_at
SNOWBALL_000213,223454_at
SNOWBALL_000214,223454_at
SNOWBALL_000215,203172_at
SNOWBALL_000215,35265_at
SNOWBALL_000217,228796_at
SNOWBALL_000217,231336_at
SNOWBALL_000219,215947_s_at
SNOWBALL_000220,208787_at
SNOWBALL_000221,221135_s_at
SNOWBALL_000222,221135_s_at
SNOWBALL_000224,201811_x_at
SNOWBALL_000224,201810_s_at
SNOWBALL_000225,209124_at
SNOWBALL_000237,218437_s_at
SNOWBALL_000237,222632_s_at
SNOWBALL_000237,237553_at
SNOWBALL_000237,232418_at
SNOWBALL_000238,207445_s_at
SNOWBALL_000240,221468_at
SNOWBALL_000240,1561226_at
SNOWBALL_000242,223903_at
SNOWBALL_000243,201419_at
SNOWBALL_000243,1555735_a_at
SNOWBALL_000248,220351_at
SNOWBALL_000249,228143_at
SNOWBALL_000249,204846_at
SNOWBALL_000249,1558034_s_at
SNOWBALL_000249,227253_at
SNOWBALL_000250,228143_at
SNOWBALL_000250,204846_at
SNOWBALL_000250,1558034_s_at
SNOWBALL_000250,227253_at
SNOWBALL_000251,206157_at
SNOWBALL_000255,201525_at
SNOWBALL_000256,201525_at
SNOWBALL_000260,201525_at
SNOWBALL_000268,205686_s_at
SNOWBALL_000268,210895_s_at
SNOWBALL_000268,205685_at
SNOWBALL_000270,205686_s_at
SNOWBALL_000270,210895_s_at
SNOWBALL_000270,205685_at
SNOWBALL_000271,205686_s_at
SNOWBALL_000271,210895_s_at
SNOWBALL_000271,205685_at
SNOWBALL_000274,1554519_at
SNOWBALL_000274,207176_s_at
SNOWBALL_000274,1555689_at
SNOWBALL_000275,213857_s_at
SNOWBALL_000275,226016_at
SNOWBALL_000275,227259_at
SNOWBALL_000275,213055_at
SNOWBALL_000275,211075_s_at
SNOWBALL_000276,213857_s_at
SNOWBALL_000276,226016_at
SNOWBALL_000276,227259_at
SNOWBALL_000276,213055_at
SNOWBALL_000276,211075_s_at
SNOWBALL_000277,213857_s_at
SNOWBALL_000277,226016_at
SNOWBALL_000277,227259_at
SNOWBALL_000277,213055_at
SNOWBALL_000277,211075_s_at
SNOWBALL_000279,213857_s_at
SNOWBALL_000279,226016_at
SNOWBALL_000279,227259_at
SNOWBALL_000279,213055_at
SNOWBALL_000279,211075_s_at
SNOWBALL_000281,243606_at
SNOWBALL_000281,223217_s_at
SNOWBALL_000281,223218_s_at
SNOWBALL_000282,219867_at
SNOWBALL_000287,222486_s_at
SNOWBALL_000287,222162_s_at
SNOWBALL_000289,204994_at
SNOWBALL_000290,202086_at
SNOWBALL_000292,204121_at
SNOWBALL_000293,204121_at
SNOWBALL_000296,203574_at
SNOWBALL_000297,1555434_a_at
SNOWBALL_000297,212110_at
SNOWBALL_000297,1555433_at
SNOWBALL_000297,1561886_a_at
SNOWBALL_000299,213434_at
SNOWBALL_000301,35254_at
SNOWBALL_000301,243196_s_at
SNOWBALL_000301,202837_at
SNOWBALL_000303,230170_at
SNOWBALL_000305,212271_at
SNOWBALL_000305,224621_at
SNOWBALL_000305,224620_at
SNOWBALL_000305,1552264_a_at
SNOWBALL_000305,208351_s_at
SNOWBALL_000305,1552263_at
SNOWBALL_000309,204126_s_at
SNOWBALL_000310,204126_s_at
SNOWBALL_000311,204126_s_at
SNOWBALL_000312,204126_s_at
SNOWBALL_000313,204126_s_at
SNOWBALL_000314,204126_s_at
SNOWBALL_000315,204126_s_at
SNOWBALL_000321,209442_x_at
SNOWBALL_000321,207950_s_at
SNOWBALL_000321,206385_s_at
SNOWBALL_000334,214783_s_at
SNOWBALL_000334,206200_s_at
SNOWBALL_000334,228727_at
SNOWBALL_000337,214783_s_at
SNOWBALL_000337,206200_s_at
SNOWBALL_000337,228727_at
SNOWBALL_000341,210297_s_at
SNOWBALL_000341,207430_s_at
SNOWBALL_000342,203666_at
SNOWBALL_000342,209687_at
SNOWBALL_000345,203666_at
SNOWBALL_000345,209687_at
SNOWBALL_000348,1566363_at
SNOWBALL_000348,210487_at
SNOWBALL_000349,209666_s_at
SNOWBALL_000350,200832_s_at
SNOWBALL_000350,211162_x_at
SNOWBALL_000350,211708_s_at
SNOWBALL_000350,200831_s_at
SNOWBALL_000355,220086_at
SNOWBALL_000355,226680_at
SNOWBALL_000368,209451_at
SNOWBALL_000368,210458_s_at
SNOWBALL_000368,207616_s_at
SNOWBALL_000368,243376_at
SNOWBALL_000370,203716_s_at
SNOWBALL_000370,211478_s_at
SNOWBALL_000370,203717_at
SNOWBALL_000371,203716_s_at
SNOWBALL_000371,211478_s_at
SNOWBALL_000371,203717_at
SNOWBALL_000372,203716_s_at
SNOWBALL_000372,211478_s_at
SNOWBALL_000372,203717_at
SNOWBALL_000377,236341_at
SNOWBALL_000377,221331_x_at
SNOWBALL_000377,231794_at
SNOWBALL_000377,234362_s_at
SNOWBALL_000379,217167_x_at
SNOWBALL_000379,214681_at
SNOWBALL_000379,207387_s_at
SNOWBALL_000379,215977_x_at
SNOWBALL_000379,215966_x_at
SNOWBALL_000379,216316_x_at
SNOWBALL_000380,205476_at
SNOWBALL_000385,216638_s_at
SNOWBALL_000385,210476_s_at
SNOWBALL_000385,206346_at
SNOWBALL_000385,231981_at
SNOWBALL_000385,227629_at
SNOWBALL_000385,243755_at
SNOWBALL_000385,211917_s_at
SNOWBALL_000387,224027_at
SNOWBALL_000387,224240_s_at
SNOWBALL_000387,238750_at
SNOWBALL_000388,212195_at
SNOWBALL_000388,212196_at
SNOWBALL_000388,204863_s_at
SNOWBALL_000388,211000_s_at
SNOWBALL_000388,204864_s_at
SNOWBALL_000388,234967_at
SNOWBALL_000389,214786_at
SNOWBALL_000389,225927_at
SNOWBALL_000391,206206_at
SNOWBALL_000392,201041_s_at
SNOWBALL_000392,201044_x_at
SNOWBALL_000393,201041_s_at
SNOWBALL_000393,201044_x_at
